"YEAR","STATE","RETURNSCOUNT","NUM_BUS_INCOME","SAL&WAGES","UNEMP_COMP_Count","UNEMP_COMP$","NUM_RE_TAXES","AGI","PERC_BUSINESS_RETURN","UNEMP_COMP_PR","PERC_RE","AGI_PR"
2011,"WY",576516.012,82871.0279,22993045.0133,52365.0389,404954.0389,122758.029,36101337.0119,14.3744538182922,702.41594417329,21.293082315986,62619.8340730561
2012,"AK",718190,106400,32233201,193980,489362,157600,45731516,14.8150210946964,681.382363998385,21.9440538019187,63676.0690068088
2012,"AL",4049190,651980,149850876,253250,994605,943830,210465535,16.1014919033189,245.630607603002,23.3091062656976,51977.194204273
2012,"AR",2403960,373090,84857196,178550,918126,484850,125317879,15.5198089818466,381.922328158538,20.1688048054044,52129.7687981497
2012,"AZ",5419910,793790,214572976,332440,1632623,1503240,312383393,14.6458151519121,301.226957643208,27.7355159034006,57636.269421448
2012,"CA",33137470,5983470,1613137667,3472020,23665460,9560380,2409667360,18.0565082367483,714.160133528601,28.8506636143315,72717.3003853342
2012,"CO",4813560,809700,223606976,313840,2097240,1561550,332560543,16.8212300251789,435.694163986737,32.4406468393455,69088.27208968
2012,"CT",3434100,519940,208406118,371650,2687056,1356070,320297691,15.1405026062141,782.462945167584,39.4883666754026,93269.7623831572
2012,"DC",646540,110750,37423869,36880,236267,170720,55571315,17.129643950877,365.43291985028,26.4051721471216,85951.8591270455
2012,"DE",858560,99240,36676682,70110,409800,265310,52500456,11.558889303019,477.310846067835,30.9017424524786,61149.4316064107
2012,"FL",18068370,3203470,651474193,1000150,5459924,3748270,1089663900,17.7297121987207,302.18132570896,20.7449260780026,60307.8141525771
2012,"GA",8532960,1683120,347521630,557820,2945690,2503650,478857092,19.7249254654891,345.21314995031,29.3409321032795,56118.5206540286
2012,"HI",1304500,190350,51164589,88470,677059,312330,74742180,14.5917976236106,519.018014564967,23.9425067075508,57295.6535070908
2012,"IA",2818540,398730,111870471,222850,1073953,792890,165760199,14.1466858728278,381.031668878214,28.1312310628907,58810.6604837966
2012,"ID",1329360,212940,46708688,139650,635049,371020,69815267,16.0182343383282,477.710326773786,27.9096708190407,52517.9537521815
2012,"IL",11989860,1757490,556951467,1040530,7009091,3742430,815798295,14.6581361250256,584.584890899477,31.2132918983208,68040.6856293568
2012,"IN",5987210,758570,228999845,442370,2470778,1390360,316836200,12.6698412115159,412.676021051542,23.2221685893764,52918.8386577387
2012,"KS",2611370,370140,107243635,159670,865520,706850,156861307,14.1741691142963,331.442882471653,27.0681672838395,60068.587369848
2012,"KY",3702980,526980,134430916,303960,1708542,933550,188091021,14.2312407844493,461.396496875489,25.2107761856667,50794.5009154789
2012,"LA",3970510,709380,154836057,176800,701670,701330,225183610,17.8662186973462,176.720370934716,17.6634739617832,56714.0266615624
2012,"MA",6438800,939630,352598760,583570,4835932,2253050,524173566,14.5932471889172,751.061067279617,34.991768652544,81408.5801702181
2012,"MD",5656520,957960,297627549,344190,2234394,2181080,411153782,16.9355009794008,395.012127597887,38.5586897951391,72686.7017176639
2012,"ME",1243750,205980,45252503,98640,520463,349520,65102355,16.5612060301508,418.462713567839,28.1021105527638,52343.6020100503
2012,"MI",9127700,1326180,347826463,861040,4747498,2464380,507430157,14.5291804068933,520.119854947029,26.998915389419,55592.3350898912
2012,"MN",5174930,746970,243550747,374310,2156048,1817170,347575413,14.4343981464484,416.633268469332,35.1148711190296,67165.2395298101
2012,"MO",5370850,772690,208065506,421560,1883819,1402700,300092049,14.3867358053195,350.748764162097,26.1169088691734,55874.218978374
2012,"MS",2465090,416380,81422479,151380,633335,472250,113846910,16.8910668575995,256.921653976123,19.1575155470997,46183.672807078
2012,"MT",948270,150150,31840162,79550,365721,254080,50614537,15.8340978835142,385.671802334778,26.7940565450768,53375.6598858975
